metrekare,Brüt_Metrekare,oda_sayisi,kat,Eşya_Durumu,binayasi,Isıtma_Tipi,Fiyat,Şehir,Binanın_Kat_Sayısı,Kullanım_Durumu,Yatırıma_Uygunluk,Takas,Tapu_Durumu,Banyo_Sayısı
110,130,4,11.Kat,Boş,4,Kombi Doğalgaz,1650000,adana,13,Kiracı Oturuyor,Bilinmiyor,Yok,Kat İrtifakı,2
85,90,4,2.Kat,,21 Ve Üzeri,Klimalı,1665000,adana,12,Boş,Uygun,Yok,Kat Mülkiyeti,1
130,140,3,,Boş,16-20,Klimalı,1800000,adana,1,Boş,Uygun,Yok,Kat Mülkiyeti,1
95,125,3,5.Kat,Boş,3,Klimalı,1340000,adana,5,Boş,Bilinmiyor,Yok,Kat İrtifakı,2
150,250,4,,Boş,4,Kombi Doğalgaz,9750000,adana,3,Mülk Sahibi Oturuyor,Uygun,Var,Kat Mülkiyeti,2
147,150,4,1.Kat,Boş,4,Klimalı,2500000,adana,5,Boş,Uygun,Yok,Kat Mülkiyeti,2
80,110,3,3.Kat,Boş,4,Klimalı,1180000,adana,12,Boş,Bilinmiyor,Yok,Kat İrtifakı,2
140,150,4,1.Kat,Boş,0 (Yeni),Klimalı,2500000,adana,5,Boş,Uygun,Yok,Kat Mülkiyeti,3
145,150,4,4.Kat,Boş,10-May,Klimalı,2500000,adana,5,Boş,,Yok,Kat Mülkiyeti,1
110,120,3,Müstakil,Eşyalı,21 Ve Üzeri,Klimalı,2200000,adana,2,Boş,Uygun,Yok,Kat Mülkiyeti,2
130,140,3,1.Kat,Boş,10-May,Klimalı,2500000,adana,6,Boş,Uygun,Yok,Kat Mülkiyeti,1
100,120,3,2.Kat,,0 (Yeni),Kombi Doğalgaz,2390000,adana,5,Boş,,,,1
45,100,2,Bahçe Katı,Boş,0 (Yeni),Klimalı,1500000,adana,2,Boş,Bilinmiyor,Var,Müstakil Tapulu,1
85,125,3,4.Kat,Boş,4,Klimalı,1760000,adana,10,Boş,Uygun,Var,Kat Mülkiyeti,2
100,110,3,,,21 Ve Üzeri,Isıtma Yok,2900000,adana,2,Kiracı Oturuyor,,,,1
100,120,3,6.Kat,Boş,0 (Yeni),Klimalı,2485000,adana,10,Boş,Uygun,Yok,Kat Mülkiyeti,1
80,90,3,1.Kat,Boş,0 (Yeni),Isıtma Yok,2450000,adana,8,Boş,,Yok,Kat Mülkiyeti,1
147,170,4,7.Kat,Boş,15-Nov,Kombi Doğalgaz,2370000,adana,11,Kiracı Oturuyor,Uygun,Yok,Kat Mülkiyeti,1
45,50,2,6.Kat,,4,Klimalı,1100000,adana,13,Boş,,,,1
80,90,3,1.Kat,Eşyalı,4,Doğalgaz Sobalı,1650000,adana,13,Mülk Sahibi Oturuyor,Uygun,Yok,Kat Mülkiyeti,1
175,230,5,10.Kat,Boş,16-20,Kombi Doğalgaz,5998000,adana,12,Mülk Sahibi Oturuyor,,Yok,Kat Mülkiyeti,2
200,240,5,10.Kat,,15-Nov,Kombi Doğalgaz,5998000,adana,12,Mülk Sahibi Oturuyor,Uygun,,Kat Mülkiyeti,2
120,150,4,1.Kat,,21 Ve Üzeri,Klimalı,3000000,adana,5,Kiracı Oturuyor,,,Kat Mülkiyeti,1
149,200,5,10.Kat,Boş,0 (Yeni),Yerden Isıtma,6900000,adana,14,Boş,Uygun,,,2
78,100,3,9.Kat,Boş,0 (Yeni),Kombi Doğalgaz,1500000,adana,9,Boş,Uygun,Var,Kat Mülkiyeti,1
76,100,3,1.Kat,,0 (Yeni),Kombi Doğalgaz,1350000,adana,9,Boş,Uygun,Var,Kat İrtifakı,1
76,100,3,2.Kat,,0 (Yeni),Kombi Doğalgaz,1700000,adana,9,Boş,Uygun,Var,Kat İrtifakı,1
160,210,5,1.Kat,Boş,0 (Yeni),Kombi Doğalgaz,4100000,adana,9,Boş,Uygun,,Kat Mülkiyeti,2
125,165,3,Müstakil,Boş,0 (Yeni),Isıtma Yok,2400000,adana,1,Boş,,,,1
40,45,2,12.Kat,,3,Kombi Doğalgaz,885000,adana,13,Kiracı Oturuyor,Uygun,,Kat İrtifakı,1
50,60,2,5.Kat,Eşyalı,4,Klimalı,1550000,adana,13,Boş,,,,1
160,220,4,4.Kat,Boş,21 Ve Üzeri,Klimalı,3200000,adana,8,Kiracı Oturuyor,Uygun,,,1
100,120,3,,Boş,21 Ve Üzeri,Klimalı,3350000,adana,3,Boş,Bilinmiyor,Yok,Bilinmiyor,1
85,120,3,2.Kat,Boş,10-May,Klimalı,2575000,adana,8,Boş,Bilinmiyor,Yok,,2
80,88,3,5.Kat,Boş,15-Nov,Isıtma Yok,1500000,adana,6,Boş,Bilinmiyor,Yok,,1
345,360,11,,Boş,10-May,Kombi Doğalgaz,12250000,adana,3,Boş,Bilinmiyor,Var,Kat İrtifakı,3
85,125,5,7.Kat,,1,Klimalı,2300000,adana,14,Boş,Bilinmiyor,Yok,Bilinmiyor,2
170,240,5,11.Kat,,10-May,Kombi Doğalgaz,4620000,adana,12,Mülk Sahibi Oturuyor,Bilinmiyor,Yok,,2
150,175,4,Yüksek Giriş,,15-Nov,Kombi Doğalgaz,2400000,adana,9,Kiracı Oturuyor,Uygun,,,1
93,110,3,2.Kat,Boş,0 (Yeni),Kombi Doğalgaz,1400000,adana,5,Boş,,Yok,,1
90,110,3,15.Kat,Boş,10-May,Kombi Doğalgaz,1170000,adana,15,Boş,Bilinmiyor,Yok,,1
125,145,4,5.Kat,,1,Kombi Doğalgaz,2100000,adana,8,Boş,,,,2
90,95,3,Düz Giriş (Zemin),,10-May,Isıtma Yok,1200000,adana,15,Boş,,Yok,Kat Mülkiyeti,2
65,85,3,5.Kat,Boş,10-May,Klimalı,1070000,adana,5,Kiracı Oturuyor,Bilinmiyor,Var,,1
40,75,2,1.Kat,Eşyalı,0 (Yeni),Klimalı,1100000,adana,10,Boş,Bilinmiyor,Var,Kat İrtifakı,1
240,250,5,6.Kat,Boş,16-20,Kombi Doğalgaz,3750000,adana,12,Boş,Bilinmiyor,Var,,2
120,170,4,7.Kat,,10-May,Kombi Doğalgaz,2930000,adana,12,Boş,,Yok,,2
50,60,2,14.Kat,,0 (Yeni),Klimalı,975000,adana,14,Boş,Uygun,,,1
125,150,5,3.Kat,Boş,21 Ve Üzeri,Isıtma Yok,2000000,adana,3,Boş,Bilinmiyor,Yok,,1
110,120,4,6.Kat,Boş,15-Nov,Kombi Doğalgaz,2300000,adana,10,Kiracı Oturuyor,Uygun,Yok,Kat Mülkiyeti,1
165,180,4,9.Kat,,15-Nov,Klimalı,2650000,adana,9,Boş,Uygun,Yok,Kat Mülkiyeti,1
135,160,4,8.Kat,,21 Ve Üzeri,Kombi Doğalgaz,2600000,adana,13,Mülk Sahibi Oturuyor,Bilinmiyor,Yok,,1
120,140,4,Yüksek Giriş,Boş,0 (Yeni),Kombi Doğalgaz,1920000,adana,5,Boş,Bilinmiyor,Yok,Kat İrtifakı,2
105,120,3,6.Kat,,0 (Yeni),Kombi Doğalgaz,2465000,adana,14,Boş,,,,2
230,250,5,4.Kat,,10-May,Kombi Doğalgaz,6750000,adana,3,Boş,,Yok,Kat Mülkiyeti,2
130,165,4,14.Kat,Boş,1,Kombi Doğalgaz,2850000,adana,15,Kiracı Oturuyor,Uygun,Yok,Kat Mülkiyeti,2
85,130,3,Düz Giriş (Zemin),Boş,16-20,Klimalı,1240000,adana,4,Kiracı Oturuyor,Uygun,,,1
40,50,2,6.Kat,Boş,4,Isıtma Yok,1195000,adana,6,Boş,,Yok,Kat Mülkiyeti,1
320,530,6,,Boş,0 (Yeni),Kombi Doğalgaz,20000000,adana,2,Boş,Uygun,,Kat Mülkiyeti,4
130,165,4,4.Kat,Boş,10-May,Kombi Doğalgaz,2150000,adana,6,Boş,Uygun,,Kat Mülkiyeti,2
115,120,8,,,15-Nov,Sobalı,3150000,adana,2,Mülk Sahibi Oturuyor,Bilinmiyor,Yok,,2
90,120,3,8.Kat,Eşyalı,10-May,Kombi Doğalgaz,2020000,adana,12,Boş,Bilinmiyor,Var,,2
135,155,4,6.Kat,Boş,16-20,Kombi Doğalgaz,3350000,adana,11,Boş,Bilinmiyor,Yok,,2
100,110,3,,Boş,21 Ve Üzeri,Klimalı,1650000,adana,2,Kiracı Oturuyor,Bilinmiyor,Yok,Arsa Tapulu,2
80,100,3,2.Kat,Boş,1,Kombi Doğalgaz,1480000,adana,5,Kiracı Oturuyor,Uygun,Yok,Kat İrtifakı,2
40,60,2,Yüksek Giriş,Boş,16-20,Klimalı,978000,adana,10,Boş,Bilinmiyor,Var,,1
130,150,4,1.Kat,Boş,0 (Yeni),Kombi Doğalgaz,1550000,adana,4,Boş,Bilinmiyor,Var,,2
65,85,3,12.Kat,Eşyalı,4,Klimalı,2075000,adana,12,Boş,Bilinmiyor,Var,Kat İrtifakı,1
100,115,3,2.Kat,Boş,0 (Yeni),Kombi Doğalgaz,1670000,adana,13,Boş,Bilinmiyor,Var,,1
100,120,4,5.Kat,Boş,0 (Yeni),Kombi Doğalgaz,1985000,adana,11,Boş,Bilinmiyor,Var,,2
120,145,4,,Boş,10-May,Kombi Doğalgaz,2950000,adana,3,Mülk Sahibi Oturuyor,Bilinmiyor,Yok,,1
64,94,3,2.Kat,Boş,1,Kombi Doğalgaz,1150000,adana,8,Kiracı Oturuyor,,Var,Kat Mülkiyeti,1
82,102,3,6.Kat,,2,Kombi Doğalgaz,1750000,adana,6,Mülk Sahibi Oturuyor,,,,1
125,135,4,4.Kat,,10-May,Kombi Doğalgaz,3425000,adana,4,Mülk Sahibi Oturuyor,,,,2
98,105,3,1.Kat,,4,Klimalı,2050000,adana,13,Kiracı Oturuyor,,,,2
88,120,3,6.Kat,Boş,0 (Yeni),Kombi Doğalgaz,2465000,adana,14,Boş,Uygun,,,2
85,120,3,6.Kat,Boş,1,Kombi Doğalgaz,2465000,adana,14,Boş,Uygun,,Kat Mülkiyeti,2
70,90,3,9.Kat,,3,Kombi Doğalgaz,1995000,adana,9,Kiracı Oturuyor,,,,2
85,135,3,10.Kat,,4,Kombi Doğalgaz,1525000,adana,15,Kiracı Oturuyor,,,Kat Mülkiyeti,2
135,195,4,2.Kat,,21 Ve Üzeri,Klimalı,3125000,adana,9,Kiracı Oturuyor,Bilinmiyor,Yok,,1
210,220,4,5.Kat,Boş,15-Nov,Güneş Enerjisi,3200000,adana,6,Mülk Sahibi Oturuyor,Bilinmiyor,Yok,,1
130,150,4,9.Kat,Boş,4,Kombi Doğalgaz,8250000,adana,3,Kiracı Oturuyor,Bilinmiyor,Yok,,2
45,55,2,3.Kat,,0 (Yeni),Klimalı,1125000,adana,13,Boş,Bilinmiyor,Yok,,1
80,90,3,12.Kat,Boş,16-20,Kombi Doğalgaz,1250000,adana,12,Boş,Bilinmiyor,Yok,Müstakil Tapulu,1
250,300,5.5,Müstakil,,16-20,Klimalı,2750000,adana,2,Boş,Uygun,,,2
44,45,2,,Boş,1,Klimalı,1450000,adana,2,Boş,Bilinmiyor,Yok,Müstakil Tapulu,1
44,45,2,1.Kat,Boş,0 (Yeni),Klimalı,1500000,adana,2,Boş,Bilinmiyor,Yok,Müstakil Tapulu,1
45,95,2,1.Kat,Boş,0 (Yeni),Klimalı,1450000,adana,2,Boş,Bilinmiyor,Yok,Müstakil Tapulu,1
45,70,2,Bahçe Katı,Boş,0 (Yeni),Klimalı,1250000,adana,2,Boş,Bilinmiyor,Var,Müstakil Tapulu,1
140,200,5,,,0 (Yeni),Kombi Doğalgaz,7500000,adana,2,Boş,,,,2
190,210,5,8.Kat,,10-May,Kombi Doğalgaz,2250000,adana,11,Boş,,,,2
110,215,7,Bahçe Dublex,Boş,16-20,Klimalı,3750000,adana,3,Mülk Sahibi Oturuyor,,,Müstakil Tapulu,2
78,100,3,9.Kat,Boş,0 (Yeni),Kombi Doğalgaz,1500000,adana,9,Boş,Uygun,Var,Kat Mülkiyeti,1
78,100,3,Yüksek Giriş,Boş,0 (Yeni),Kombi Doğalgaz,1500000,adana,9,Boş,Uygun,Var,Kat İrtifakı,1
76,100,3,2.Kat,,0 (Yeni),Kombi Doğalgaz,1500000,adana,9,Boş,Uygun,Var,Kat İrtifakı,1
78,100,3,6.Kat,Boş,0 (Yeni),Kombi Doğalgaz,1750000,adana,9,Boş,Uygun,Var,Kat Mülkiyeti,1
78,100,3,9.Kat,Boş,0 (Yeni),Kombi Doğalgaz,1500000,adana,9,Boş,Uygun,Var,Kat Mülkiyeti,1
76,100,3,2.Kat,,0 (Yeni),Kombi Doğalgaz,1500000,adana,9,Boş,Uygun,Var,Kat İrtifakı,1
210,250,5,14.Kat,Boş,16-20,Kombi Doğalgaz,8450000,adana,15,Boş,Uygun,,,3
55,60,2,5.Kat,,4,Klimalı,1550000,adana,13,Boş,,,,1
100,155,4,11.Kat,Boş,10-May,Kombi Doğalgaz,2095000,adana,15,Boş,Uygun,Var,,1
55,65,2,5.Kat,,10-May,Klimalı,1550000,adana,13,Boş,,,,1
95,120,3,6.Kat,Boş,0 (Yeni),Kombi Doğalgaz,2465000,adana,14,Boş,Uygun,,,2
120,130,4,,,4,Kombi Doğalgaz,2800000,adana,3,Boş,,,,2
148,167,4,8.Kat,Boş,15-Nov,Kombi Doğalgaz,2275000,adana,11,Boş,Bilinmiyor,Var,,1
115,150,4,,Boş,21 Ve Üzeri,Klimalı,3000000,adana,2,Mülk Sahibi Oturuyor,Uygun,,Kat Mülkiyeti,2
130,185,5,Yüksek Giriş,,15-Nov,Kombi Doğalgaz,2950000,adana,15,Boş,Uygun,Yok,,2
100,135,3,3.Kat,,21 Ve Üzeri,Kombi Doğalgaz,2275000,adana,4,Boş,,,,1
70,486,3,,,10-May,Klimalı,4000000,adana,3,Boş,,Yok,Müstakil Tapulu,2
120,150,4,Düz Giriş (Zemin),Boş,16-20,Kombi Doğalgaz,2100000,adana,4,Kiracı Oturuyor,Bilinmiyor,Yok,,1
39,45,2,4.Kat,Boş,0 (Yeni),Kombi Doğalgaz,1050000,adana,13,Boş,Bilinmiyor,Var,Kat İrtifakı,1
90,110,3,5.Kat,Boş,15-Nov,Kombi Doğalgaz,1480000,adana,10,Mülk Sahibi Oturuyor,Bilinmiyor,Var,,1
120,155,4,3.Kat,Boş,4,Kombi Doğalgaz,3500000,adana,12,Boş,Bilinmiyor,Yok,Kat İrtifakı,2
37,55,2,4.Kat,Boş,0 (Yeni),Kombi Doğalgaz,990000,adana,7,Boş,Bilinmiyor,Var,Kat İrtifakı,1
190,200,5,Yüksek Giriş,Boş,15-Nov,Kombi Doğalgaz,3050000,adana,11,Boş,Bilinmiyor,Var,,2
300,330,7,,Boş,10-May,Kombi Doğalgaz,9990000,adana,3,Boş,Bilinmiyor,Yok,Müstakil Tapulu,3
45,65,2,1.Kat,Boş,16-20,Klimalı,425000,adana,12,Boş,,Var,Kat Mülkiyeti,1
90,110,3,10.Kat,Boş,10-May,Kombi Doğalgaz,2830000,adana,10,Mülk Sahibi Oturuyor,Uygun,Yok,Kat Mülkiyeti,1
90,111,4,1.Kat,Boş,0 (Yeni),Kombi Doğalgaz,1325000,adana,5,Boş,,Var,Kat Mülkiyeti,1
90,130,3,Yüksek Giriş,,10-May,Kombi Doğalgaz,1950000,adana,12,Boş,Uygun,Yok,Kat Mülkiyeti,1
150,170,4,7.Kat,,21 Ve Üzeri,Kombi Doğalgaz,3200000,adana,13,Mülk Sahibi Oturuyor,,Var,Kat İrtifakı,1
110,135,4,2.Kat,Boş,0 (Yeni),Kombi Doğalgaz,1600000,adana,4,Boş,,Var,Kat İrtifakı,2
175,200,11,,,16-20,Klimalı,7400000,adana,3,Boş,,,,3
125,160,5,1.Kat,Boş,1,Kombi Doğalgaz,2600000,adana,9,Kiracı Oturuyor,,Var,Kat Mülkiyeti,2
136,176,3,,,16-20,Klimalı,3150000,adana,2,Mülk Sahibi Oturuyor,Uygun,,,2
100,125,4,2.Kat,Boş,1,Kombi Doğalgaz,1400000,adana,9,Kiracı Oturuyor,,,Kat Mülkiyeti,1
124,145,4,,Boş,15-Nov,Güneş Enerjisi,6375000,adana,3,Mülk Sahibi Oturuyor,Bilinmiyor,Var,Arsa Tapulu,1
135,160,4,6.Kat,Boş,21 Ve Üzeri,Kombi Doğalgaz,2950000,adana,8,Mülk Sahibi Oturuyor,Bilinmiyor,Yok,,2
90,95,3,Bahçe Katı,,10-May,Merkezi Doğalgaz,1600000,adana,2,Kiracı Oturuyor,,,,1
130,195,4,3.Kat,Boş,21 Ve Üzeri,Klimalı,3125000,adana,9,Kiracı Oturuyor,Uygun,Yok,,1
145,165,4,10.Kat,,16-20,Kombi Doğalgaz,2400000,adana,11,Mülk Sahibi Oturuyor,,Yok,Kat Mülkiyeti,2
105,115,4,12.Kat,,1,Kombi Doğalgaz,2075000,adana,12,Boş,,,,2
220,240,5,1.Kat,,10-May,Kombi Doğalgaz,5250000,adana,15,Boş,Uygun,Var,Kat Mülkiyeti,2
145,170,4,7.Kat,Boş,21 Ve Üzeri,Isıtma Yok,1750000,adana,8,Boş,Uygun,Var,Kat Mülkiyeti,1
175,195,5,13.Kat,,4,Kombi Doğalgaz,3950000,adana,15,Mülk Sahibi Oturuyor,,Var,,2
105,125,4,,,15-Nov,Klimalı,1245000,adana,2,Boş,,,Müstakil Tapulu,1
40,50,2,1.Kat,Boş,0 (Yeni),Isıtma Yok,870000,adana,11,Boş,Uygun,Var,Kat Mülkiyeti,1
220,240,5,1.Kat,,10-May,Merkezi (Pay Ölçer),5250000,adana,15,Boş,Uygun,,Kat Mülkiyeti,2
150,170,4,1.Kat,,15-Nov,Kombi Doğalgaz,2499000,adana,10,Boş,Uygun,Var,Kat Mülkiyeti,1
145,170,4,7.Kat,Boş,21 Ve Üzeri,Isıtma Yok,1750000,adana,8,Boş,Uygun,Var,Kat Mülkiyeti,1
175,195,5,13.Kat,,4,Kombi Doğalgaz,3950000,adana,15,Mülk Sahibi Oturuyor,,Var,,2
105,125,4,,,15-Nov,Klimalı,1245000,adana,2,Boş,,,Müstakil Tapulu,1
40,50,2,1.Kat,Boş,0 (Yeni),Isıtma Yok,870000,adana,11,Boş,Uygun,Var,Kat Mülkiyeti,1
220,240,5,1.Kat,,10-May,Merkezi (Pay Ölçer),5250000,adana,15,Boş,Uygun,,Kat Mülkiyeti,2
150,170,4,1.Kat,,15-Nov,Kombi Doğalgaz,2499000,adana,10,Boş,Uygun,Var,Kat Mülkiyeti,1
75,90,3,5.Kat,Boş,0 (Yeni),Kombi Doğalgaz,1600000,adana,11,Boş,,,,2
110,125,4,8.Kat,Boş,2,Kombi Doğalgaz,3050000,adana,11,Boş,Bilinmiyor,Yok,,1
110,130,4,5.Kat,Boş,0 (Yeni),Klimalı,1920000,adana,5,Boş,Bilinmiyor,Yok,Kat İrtifakı,2
100,202,4,,Boş,0 (Yeni),Kombi Doğalgaz,4250000,adana,2,Boş,Bilinmiyor,Yok,,2
75,90,2,7.Kat,Boş,0 (Yeni),Kombi Doğalgaz,1095000,adana,11,Boş,Uygun,Var,Kat Mülkiyeti,1
85,100,3,11.Kat,,3,Kombi Doğalgaz,1745000,adana,12,Mülk Sahibi Oturuyor,Uygun,Yok,Kat Mülkiyeti,2
75,80,3,2.Kat,,0 (Yeni),Isıtma Yok,1650000,adana,14,Boş,,,,2
135,165,4,5.Kat,Boş,21 Ve Üzeri,Klimalı,1995000,adana,7,Mülk Sahibi Oturuyor,Uygun,Yok,Kat Mülkiyeti,1
115,120,4,,,15-Nov,Sobalı,2950000,adana,2,Mülk Sahibi Oturuyor,Uygun,,,2
40,50,2,8.Kat,Eşyalı,3,Kombi Doğalgaz,1435000,adana,10,Kiracı Oturuyor,Bilinmiyor,Var,,1
140,240,3,,Boş,21 Ve Üzeri,Klimalı,3750000,adana,2,Kiracı Oturuyor,Uygun,Var,Arsa Tapulu,1
90,120,3,1.Kat,,0 (Yeni),Doğalgaz Sobalı,1850000,adana,10,Boş,Uygun,Var,Kat Mülkiyeti,1
85,110,3.5,3.Kat,Boş,10-May,Merkezi Doğalgaz,1325000,adana,6,Boş,,,Kat Mülkiyeti,1
140,160,4,3.Kat,Boş,21 Ve Üzeri,Klimalı,1665000,adana,7,Mülk Sahibi Oturuyor,Uygun,Yok,Kat Mülkiyeti,1
155,175,4,1.Kat,,16-20,Kombi Doğalgaz,1795000,adana,8,Boş,Uygun,Yok,Kat Mülkiyeti,1
82,105,3,2.Kat,Boş,0 (Yeni),Kombi Doğalgaz,1850000,adana,13,Kiracı Oturuyor,Uygun,Yok,Kat İrtifakı,2
3698,3700,4,,Boş,10-May,Sobalı,3350000,adana,1,Boş,,Var,Müstakil Tapulu,1
150,170,4,5.Kat,,21 Ve Üzeri,Kombi Doğalgaz,2599000,adana,12,Mülk Sahibi Oturuyor,Uygun,Yok,Kat Mülkiyeti,1
85,110,3,5.Kat,,0 (Yeni),Merkezi Doğalgaz,2250000,adana,9,Boş,Uygun,Yok,Kat İrtifakı,1
100,120,4,Yüksek Giriş,Boş,0 (Yeni),Kombi Doğalgaz,2200000,adana,10,Boş,Uygun,Yok,Kat Mülkiyeti,1
130,150,4,2.Kat,Boş,15-Nov,Kombi Doğalgaz,2690000,adana,10,Kiracı Oturuyor,Uygun,,Kat Mülkiyeti,1
125,155,4,2.Kat,,10-May,Kombi Doğalgaz,3750000,adana,10,Boş,Uygun,,,2
50,60,2,Yüksek Giriş,Boş,0 (Yeni),Doğalgaz Sobalı,1450000,adana,12,Boş,,Yok,Kat Mülkiyeti,6
155,185,4,5.Kat,Boş,21 Ve Üzeri,Klimalı,1690000,adana,9,Boş,Bilinmiyor,Var,,1
148,180,5,1.Kat,,0 (Yeni),Kombi Doğalgaz,4100000,adana,8,Mülk Sahibi Oturuyor,Uygun,Yok,Kat Mülkiyeti,2
95,105,3,,Boş,21 Ve Üzeri,Klimalı,3450000,adana,3,Boş,Uygun,Yok,Bilinmiyor,1
115,130,4,3.Kat,Boş,0 (Yeni),Kombi Doğalgaz,2700000,adana,9,Boş,Uygun,Var,Kat Mülkiyeti,2
266,300,4,,Boş,16-20,Klimalı,4750000,adana,1,Mülk Sahibi Oturuyor,Uygun,Var,Müstakil Tapulu,1
150,165,4,3.Kat,Boş,16-20,Kombi Doğalgaz,2290000,adana,10,Boş,Uygun,Var,Kat Mülkiyeti,1
75,90,3,2.Kat,,4,Isıtma Yok,2550000,adana,10,Kiracı Oturuyor,,,,1
95,120,3,2.Kat,Boş,3,Klimalı,2949000,adana,9,Boş,Uygun,Yok,Kat İrtifakı,1
130,150,4,2.Kat,Boş,21 Ve Üzeri,Klimalı,2349000,adana,5,Mülk Sahibi Oturuyor,Uygun,Yok,Kat Mülkiyeti,1
90,100,3,9.Kat,,4,Güneş Enerjisi,1960000,adana,14,Boş,,Yok,,1
170,230,5,4.Kat,Boş,10-May,Kombi Doğalgaz,6750000,adana,15,Boş,Uygun,,Kat Mülkiyeti,2
220,250,5,14.Kat,,21 Ve Üzeri,Klimalı,8450000,adana,15,Boş,,,Kat Mülkiyeti,3
40,65,2,Yüksek Giriş,Boş,4,Kombi Doğalgaz,1195000,adana,6,Boş,Uygun,,Kat İrtifakı,1
